y,x0,x1
0.00E+00,5.96E-01,1.93E-01
0.00E+00,4.37E-01,5.45E-01
1.00E+00,9.00E-01,8.46E-01
0.00E+00,5.55E-01,9.26E-03
0.00E+00,7.47E-02,2.83E-01
0.00E+00,5.56E-01,4.10E-01
0.00E+00,6.80E-01,2.98E-04
0.00E+00,4.71E-02,9.46E-01
1.00E+00,7.24E-01,4.94E-01
0.00E+00,2.44E-01,1.77E-01
1.00E+00,5.97E-01,6.14E-01
0.00E+00,2.07E-01,3.99E-01
0.00E+00,3.22E-01,2.84E-01
1.00E+00,7.45E-01,4.35E-01
0.00E+00,5.45E-01,2.06E-01
0.00E+00,1.70E-01,4.36E-03
1.00E+00,2.34E-01,9.68E-01
1.00E+00,5.62E-01,6.02E-01
0.00E+00,2.80E-01,1.87E-01
0.00E+00,3.08E-02,3.02E-01
0.00E+00,2.28E-01,6.61E-01
0.00E+00,2.78E-01,4.24E-01
1.00E+00,3.38E-01,7.94E-01
1.00E+00,9.94E-01,8.49E-01
0.00E+00,2.86E-01,5.96E-02
0.00E+00,1.21E-01,3.14E-01
1.00E+00,4.00E-02,9.68E-01
1.00E+00,8.09E-01,8.62E-01
0.00E+00,5.54E-01,1.91E-02
1.00E+00,1.16E-01,9.40E-01
1.00E+00,7.30E-01,9.50E-01
1.00E+00,8.47E-01,1.87E-01
1.00E+00,2.61E-01,9.83E-01
1.00E+00,4.20E-01,9.33E-01
1.00E+00,7.72E-01,5.53E-01
1.00E+00,9.21E-01,6.35E-01
1.00E+00,5.29E-01,7.22E-01
0.00E+00,1.38E-02,4.21E-01
0.00E+00,7.75E-02,6.30E-01
1.00E+00,9.28E-01,1.04E-01
1.00E+00,7.96E-01,9.22E-01
0.00E+00,2.24E-01,7.33E-02
1.00E+00,9.42E-01,5.22E-01
1.00E+00,9.65E-01,2.01E-01
1.00E+00,9.94E-01,6.08E-01
1.00E+00,6.66E-01,5.03E-01
0.00E+00,7.18E-01,3.99E-02
0.00E+00,3.49E-01,2.24E-01
0.00E+00,2.71E-01,2.08E-01
0.00E+00,3.18E-01,3.92E-01
1.00E+00,8.27E-01,7.26E-01
0.00E+00,5.36E-01,4.37E-01
0.00E+00,8.43E-02,4.11E-01
1.00E+00,6.70E-01,4.54E-01
1.00E+00,8.54E-01,2.74E-01
1.00E+00,9.95E-01,7.08E-01
1.00E+00,9.34E-01,4.63E-01
1.00E+00,2.75E-01,8.69E-01
0.00E+00,3.56E-01,3.45E-01
1.00E+00,9.88E-01,4.91E-01
1.00E+00,7.99E-01,6.10E-01
1.00E+00,8.04E-01,2.83E-01
1.00E+00,8.13E-01,9.30E-01
1.00E+00,9.06E-01,3.57E-01
0.00E+00,4.34E-01,4.78E-01
0.00E+00,1.14E-01,7.40E-01
0.00E+00,3.45E-01,6.13E-01
0.00E+00,2.78E-01,6.41E-01
1.00E+00,6.96E-01,8.82E-01
1.00E+00,7.99E-01,3.53E-01
1.00E+00,8.77E-01,6.77E-01
1.00E+00,6.35E-01,5.02E-01
0.00E+00,2.12E-01,2.86E-01
1.00E+00,5.87E-01,5.71E-01
0.00E+00,6.99E-02,7.92E-01
0.00E+00,2.36E-01,6.44E-02
1.00E+00,8.88E-01,5.20E-01
0.00E+00,2.45E-01,3.21E-02
0.00E+00,9.07E-02,8.69E-01
1.00E+00,5.09E-01,6.61E-01
1.00E+00,6.52E-01,7.76E-01
1.00E+00,7.72E-01,8.07E-01
0.00E+00,1.33E-01,1.19E-01
0.00E+00,3.26E-02,7.52E-01
0.00E+00,4.05E-01,2.83E-01
0.00E+00,3.26E-01,2.03E-01
1.00E+00,8.47E-01,7.04E-01
1.00E+00,3.76E-01,6.36E-01
1.00E+00,6.65E-01,9.60E-01
1.00E+00,8.59E-01,7.01E-01
1.00E+00,5.18E-01,5.48E-01
1.00E+00,7.28E-01,4.24E-01
1.00E+00,3.10E-01,9.13E-01
0.00E+00,2.89E-01,1.39E-01
1.00E+00,9.08E-01,2.43E-01
1.00E+00,8.17E-01,6.94E-01
0.00E+00,3.72E-02,1.23E-01
1.00E+00,9.72E-02,9.32E-01
1.00E+00,8.08E-01,5.84E-01
0.00E+00,8.30E-01,8.63E-02
